,wall_time,name,step,value
7,1677500753.019771,enable_proxy_attention/text_summary,0,0.0
8,1677500753.019806,change_subset_attention/text_summary,0,0.0
9,1677500753.019945,num_gpu/text_summary,0,0.0
10,1677500753.0200355,num_cpu/text_summary,0,0.0
11,1677500753.0203059,transfer_imagenet/text_summary,0,0.0
12,1677500753.0245275,subset_images/text_summary,0,0.0
13,1677500753.0288737,proxy_threshold/text_summary,0,0.0
14,1677500753.0330184,pixel_replacement_method/text_summary,0,0.0
15,1677500753.0371642,model/text_summary,0,0.0
16,1677500753.0413997,proxy_steps/text_summary,0,0.0
17,1677500753.045731,load_proxy_data/text_summary,0,0.0
18,1677500753.049485,gradient_method/text_summary,0,0.0
19,1677500753.0533614,clear_every_step/text_summary,0,0.0
20,1677500753.0573199,fname_start/text_summary,0,0.0
21,1677500753.0615737,device/text_summary,0,0.0
22,1677500753.0657566,global_run_count/text_summary,0,0.0
23,1677500753.0695436,label_map/text_summary,0,0.0
24,1677500753.0733955,rev_label_map/text_summary,0,0.0
25,1677500753.0775037,num_classes/text_summary,0,0.0
26,1677500767.442062,proxy_step,1,0.0
27,1677500767.4421597,Loss/Train,1,1.2536771297454834
28,1677500767.4423928,Acc/Train,1,0.6855999827384949
29,1677500781.284058,proxy_step,1,0.0
30,1677500781.2841434,Loss/Val,1,0.14231818914413452
31,1677500781.2844098,Acc/Val,1,0.9666000008583069
32,1677500796.0423942,proxy_step,2,0.0
33,1677500796.042482,Loss/Train,2,0.5763693451881409
34,1677500796.0427573,Acc/Train,2,0.8393999934196472
35,1677500809.975329,proxy_step,2,0.0
36,1677500809.9754186,Loss/Val,2,0.12340866029262543
37,1677500809.9757218,Acc/Val,2,0.9757999777793884
0,1677500811.918933,experiment_name/text_summary,0,0.0
1,1677500811.919034,ds_path/text_summary,0,0.0
2,1677500811.919079,ds_name/text_summary,0,0.0
3,1677500811.9191222,name_fn/text_summary,0,0.0
4,1677500811.9191582,image_size/text_summary,0,0.0
5,1677500811.9191928,batch_size/text_summary,0,0.0
6,1677500811.919229,epoch_steps/text_summary,0,0.0
7,1677500811.9192622,enable_proxy_attention/text_summary,0,0.0
8,1677500811.9192977,change_subset_attention/text_summary,0,0.0
9,1677500811.9193308,num_gpu/text_summary,0,0.0
10,1677500811.9193637,num_cpu/text_summary,0,0.0
11,1677500811.9196568,transfer_imagenet/text_summary,0,0.0
12,1677500811.9228847,subset_images/text_summary,0,0.0
13,1677500811.9263506,proxy_threshold/text_summary,0,0.0
14,1677500811.9298606,pixel_replacement_method/text_summary,0,0.0
15,1677500811.9334867,model/text_summary,0,0.0
16,1677500811.9368222,proxy_steps/text_summary,0,0.0
17,1677500811.9409387,load_proxy_data/text_summary,0,0.0
18,1677500811.9448986,gradient_method/text_summary,0,0.0
19,1677500811.9488432,clear_every_step/text_summary,0,0.0
20,1677500811.9527457,fname_start/text_summary,0,0.0
21,1677500811.95718,device/text_summary,0,0.0
22,1677500811.9612892,global_run_count/text_summary,0,0.0
23,1677500811.9653244,label_map/text_summary,0,0.0
24,1677500811.9692876,rev_label_map/text_summary,0,0.0
25,1677500811.9735792,num_classes/text_summary,0,0.0
26,1677500826.6360888,proxy_step,1,0.0
27,1677500826.6361797,Loss/Train,1,1.277599811553955
28,1677500826.636434,Acc/Train,1,0.6704000234603882
29,1677500840.59778,proxy_step,1,0.0
30,1677500840.5978682,Loss/Val,1,0.24594342708587646
31,1677500840.5981317,Acc/Val,1,0.9613999724388123
0,1677500842.716848,experiment_name/text_summary,0,0.0
1,1677500842.7169523,ds_path/text_summary,0,0.0
2,1677500842.7169979,ds_name/text_summary,0,0.0
3,1677500842.7170405,name_fn/text_summary,0,0.0
4,1677500842.7170765,image_size/text_summary,0,0.0
5,1677500842.7171106,batch_size/text_summary,0,0.0
6,1677500842.7171474,epoch_steps/text_summary,0,0.0
7,1677500842.7171812,enable_proxy_attention/text_summary,0,0.0
8,1677500842.7172174,change_subset_attention/text_summary,0,0.0
9,1677500842.7172513,num_gpu/text_summary,0,0.0
10,1677500842.7172847,num_cpu/text_summary,0,0.0
11,1677500842.7175236,transfer_imagenet/text_summary,0,0.0
12,1677500842.7217636,subset_images/text_summary,0,0.0
13,1677500842.725624,proxy_threshold/text_summary,0,0.0
14,1677500842.729861,pixel_replacement_method/text_summary,0,0.0
15,1677500842.7339993,model/text_summary,0,0.0
16,1677500842.7383559,proxy_steps/text_summary,0,0.0
17,1677500842.7427592,load_proxy_data/text_summary,0,0.0
18,1677500842.746755,gradient_method/text_summary,0,0.0
19,1677500842.750725,clear_every_step/text_summary,0,0.0
20,1677500842.754807,fname_start/text_summary,0,0.0
21,1677500842.7588634,device/text_summary,0,0.0
22,1677500842.7633476,global_run_count/text_summary,0,0.0
23,1677500842.7673297,label_map/text_summary,0,0.0
24,1677500842.7714617,rev_label_map/text_summary,0,0.0
25,1677500842.7756448,num_classes/text_summary,0,0.0
26,1677500857.3690112,proxy_step,1,0.0
27,1677500857.3691835,Loss/Train,1,1.2580667734146118
28,1677500857.3694575,Acc/Train,1,0.6801999807357788
29,1677500871.2058249,proxy_step,1,0.0
30,1677500871.2059183,Loss/Val,1,0.2115478217601776
31,1677500871.2061875,Acc/Val,1,0.9571999907493591
0,1677500873.08939,experiment_name/text_summary,0,0.0
1,1677500873.0894938,ds_path/text_summary,0,0.0
2,1677500873.0895383,ds_name/text_summary,0,0.0
3,1677500873.0896745,name_fn/text_summary,0,0.0
4,1677500873.0898042,image_size/text_summary,0,0.0
5,1677500873.089847,batch_size/text_summary,0,0.0
6,1677500873.089932,epoch_steps/text_summary,0,0.0
7,1677500873.0900176,enable_proxy_attention/text_summary,0,0.0
8,1677500873.0900557,change_subset_attention/text_summary,0,0.0
9,1677500873.0900905,num_gpu/text_summary,0,0.0
10,1677500873.0901241,num_cpu/text_summary,0,0.0
11,1677500873.0904067,transfer_imagenet/text_summary,0,0.0
12,1677500873.0948336,subset_images/text_summary,0,0.0
13,1677500873.0987384,proxy_threshold/text_summary,0,0.0
14,1677500873.1025465,pixel_replacement_method/text_summary,0,0.0
15,1677500873.1065116,model/text_summary,0,0.0
16,1677500873.1101463,proxy_steps/text_summary,0,0.0
17,1677500873.1140327,load_proxy_data/text_summary,0,0.0
18,1677500873.1172519,gradient_method/text_summary,0,0.0
19,1677500873.1205394,clear_every_step/text_summary,0,0.0
20,1677500873.1238103,fname_start/text_summary,0,0.0
21,1677500873.1272326,device/text_summary,0,0.0
22,1677500873.13084,global_run_count/text_summary,0,0.0
23,1677500873.1346269,label_map/text_summary,0,0.0
24,1677500873.138626,rev_label_map/text_summary,0,0.0
25,1677500873.14263,num_classes/text_summary,0,0.0
26,1677500887.435541,proxy_step,1,0.0
27,1677500887.43563,Loss/Train,1,1.3193154335021973
28,1677500887.4358897,Acc/Train,1,0.6603999733924866
29,1677500901.1737943,proxy_step,1,0.0
30,1677500901.1738803,Loss/Val,1,0.1675475537776947
31,1677500901.1740668,Acc/Val,1,0.9768000245094299
32,1677500915.8800557,proxy_step,2,0.0
33,1677500915.8801885,Loss/Train,2,0.5546436309814453
34,1677500915.8804817,Acc/Train,2,0.849399983882904
35,1677500929.611223,proxy_step,2,0.0
36,1677500929.6113138,Loss/Val,2,0.13210143148899078
37,1677500929.611622,Acc/Val,2,0.9711999893188477
0,1677500931.701798,experiment_name/text_summary,0,0.0
1,1677500931.7019696,ds_path/text_summary,0,0.0
2,1677500931.7020445,ds_name/text_summary,0,0.0
3,1677500931.7020895,name_fn/text_summary,0,0.0
4,1677500931.7021258,image_size/text_summary,0,0.0
5,1677500931.7021594,batch_size/text_summary,0,0.0
6,1677500931.7021947,epoch_steps/text_summary,0,0.0
7,1677500931.7022278,enable_proxy_attention/text_summary,0,0.0
8,1677500931.7022626,change_subset_attention/text_summary,0,0.0
9,1677500931.7022948,num_gpu/text_summary,0,0.0
10,1677500931.7023273,num_cpu/text_summary,0,0.0
11,1677500931.7025747,transfer_imagenet/text_summary,0,0.0
12,1677500931.7070863,subset_images/text_summary,0,0.0
13,1677500931.7111921,proxy_threshold/text_summary,0,0.0
14,1677500931.715298,pixel_replacement_method/text_summary,0,0.0
15,1677500931.7198126,model/text_summary,0,0.0
16,1677500931.7239273,proxy_steps/text_summary,0,0.0
17,1677500931.7284212,load_proxy_data/text_summary,0,0.0
18,1677500931.732625,gradient_method/text_summary,0,0.0
19,1677500931.7365227,clear_every_step/text_summary,0,0.0
20,1677500931.7405186,fname_start/text_summary,0,0.0
21,1677500931.744561,device/text_summary,0,0.0
22,1677500931.7484944,global_run_count/text_summary,0,0.0
23,1677500931.752408,label_map/text_summary,0,0.0
